Numero	Nome		Data/Hora
12345	Desiderio Murcho	2024-12-08 16:51
01243	Charles Bukowski	2024-12-08 18:07
00003	Nina Simone12345	Desiderio Murcho	2024-12-08 19:55
00003	Nina Simone	2024-12-08 19:56
00704	Thom Yorke	2024-12-08 19:56
45834	Virginia Woolf	2024-12-08 21:14
00003	Nina Simone	2024-12-08 21:31
00001	Antonio Costa	2024-12-08 21:34
01822	Guilherme Silva	2024-12-08 21:34
12345	Desiderio Murcho	2024-12-08 21:34
00704	Thom Yorke	2024-12-08 21:36
01243	Charles Bukowski	2024-12-08 21:37
00003	Nina Simone	2024-12-08 21:43
00001	Antonio Costa	2024-12-08 21:44
12345	Desiderio Murcho	2024-12-08 21:44
02002	Osama Bin Laden	2024-12-08 21:45
00001	Antonio Costa	2024-12-08 21:49
00003	Nina Simone	2024-12-08 21:49
12345	Desiderio Murcho	2024-12-08 21:50
02002	Osama Bin Laden	2024-12-08 21:50
01822	Guilherme Silva	2024-12-08 21:50
00704	Thom Yorke	2024-12-08 21:51
45777	Cristiano Ronaldo	2024-12-08 21:52
45834	Virginia Woolf	2024-12-08 21:52
